Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,MA50,MA200,EMA50,Momentum,RSI,MACD,Signal,MACD Singal Diff,Stoch,Stoch Signal,Upper_band,Lower_band
2011-04-12,25.08,25.209999,24.299999,24.65,24.65,1357400,-0.017,-0.620000000000001,2.0264961886861843,26.09571442857143,24.36714280952381,23.959400019999997,23.726350005,24.82435751783075,24.24,49.263021061192056,0.6125137217311298,0.5276333090325233,0.08488041269860658,39.6731113927357,52.705644164716944,28.16107579801265,20.57320982103497
2011-04-13,25.129999,25.690001,24.809999,24.93,24.93,1211500,-0.008,0.28000000000000114,1.9806802835491442,25.967142999999997,24.46142847619048,23.979800020000003,23.73155001,24.82646836870951,23.49,50.769363196734716,0.5280566907413409,0.5277179853742868,0.0003387053670540485,40.09509351744748,43.400162944714474,28.205529687124166,20.717327265256795
2011-04-14,24.870001,25.280001,24.200001,25.139999,25.139999,983400,0.011,0.20999899999999982,1.9375840000248297,25.744285571428573,24.57190461904762,24.00379998,23.738100005,24.83273071197264,22.27,51.92225094813544,0.4726209691312029,0.5166985821256701,-0.04407761299446722,42.04545454545455,40.604553151879244,28.248896198068635,20.8949130400266
2011-04-15,25.65,26.18,25.41,25.58,25.58,943500,-0.003,0.44000099999999875,1.902114339674911,25.61428557142857,24.70380942857143,24.042799999999996,23.75620001,24.84765093097825,21.65,54.33523218938571,0.45890222463173913,0.5051393106268839,-0.046237085995144755,45.087727208373146,42.40942509042506,28.313460486314757,21.0941583708281
2011-04-18,25.129999,25.620001,24.360001,25.030001,25.030001,1033900,-0.004,-0.5499989999999997,1.8593886971004092,25.298571428571428,24.802380952380954,24.07420004,23.785350010000002,24.85129048641679,21.93,50.89655708465151,0.3990497014525971,0.48392138879202656,-0.08487168733942946,35.43862025238948,40.85726733540573,28.324010878207503,21.280751026554405
2011-04-19,25.26,25.26,24.65,25.16,25.16,548700,-0.004,0.12999900000000153,1.8186651842588406,25.108571428571427,24.918095238095237,24.11600004,23.830600005,24.857449907132505,22.139999,51.67503087881753,0.3579794146147748,0.4587329939565762,-0.1007535793418014,21.286018308655567,33.93745525647274,28.31106825683643,21.525122219354046
2011-04-20,25.700001,26.09,25.299999,25.75,25.75,837200,0.002,0.5899999999999999,1.788790648541372,25.177142857142854,25.087619,24.141200039999998,23.880350005,24.875252077276176,22.58,55.15029879514557,0.3687878290339768,0.44074396097205637,-0.07195613193807959,38.94470827756489,31.88978227953665,28.256448199171924,21.918789800828076
2011-04-21,25.85,26.98,25.59,26.74,26.74,1386100,0.034,0.9899999999999984,1.7941181945637124,25.475714285714282,25.303333333333335,24.211800059999995,23.92675001,24.9124324683551,22.030001,60.30832977769659,0.45202760866116876,0.4430006905098789,0.009026918151289864,67.91441176470586,42.71504611697544,28.2590015294159,22.347665137250768
2011-04-25,26.700001,26.73,25.969999,26.389999,26.389999,800900,-0.012,-0.3500009999999989,1.7806672806054396,25.68428557142857,25.496666619047616,24.275200059999996,23.971700005,24.941883279545753,22.16,57.77839882369975,0.4841723407490157,0.45123502055770626,0.03293732019130946,58.5560962566845,55.13840543298508,28.15128789674447,22.84204534135076
2011-04-26,26.66,27.25,26.309999,26.93,26.93,1400000,0.01,0.5400010000000002,1.7880734939898384,25.939999999999998,25.69571423809524,24.34880006,24.02110001,24.981497521554868,22.75,60.52954379480099,0.5469163292423538,0.47037128229463576,0.07654504694771802,72.9946256684492,66.48837789661319,28.100431213423,23.290997262767476
