Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,EMA50,Momentum,RSI,MACD,Signal,Upper_band,Lower_band
1997-06-13,1.625,1.625,1.583333,1.583333,1.583333,693600,-0.026,-0.020833999999999797,0.11060272357795914,1.5997024285714285,1.5751488095238095,1.5717650047767564,-1.416667,37.424586742363715,-0.06253931362201026,-0.08356942834267381,1.8301459140443268,1.3201517050032923
1997-06-16,1.604167,1.604167,1.5625,1.572917,1.572917,913200,-0.019,-0.010416000000000203,0.1065006057779071,1.6041667142857143,1.5567956666666667,1.5718289646815535,-1.458333,37.00177091177171,-0.058670581992704474,-0.07858965907267995,1.7418464050087044,1.371744928324629
1997-06-17,1.598958,1.598958,1.494792,1.505208,1.505208,4706400,-0.059,-0.0677089999999998,0.10398785130655733,1.5825892857142858,1.5461309523809523,1.5682583358581828,-1.395833,34.28977533176777,-0.06037220157666501,-0.07494616757347697,1.714523250812295,1.3777386539496097
1997-06-18,1.520833,1.536458,1.5,1.510417,1.510417,2464800,-0.007,0.005208999999999797,0.10128998771354185,1.5572917142857143,1.5367063809523809,1.5652601643940496,-1.416667,34.686384576567704,-0.060601844252683446,-0.07207730290931827,1.6882850994579492,1.3851276624468125
1997-06-19,1.510417,1.53125,1.5,1.510417,1.510417,1003200,0.0,0.0,0.09864878866194139,1.546875142857143,1.530754,1.5625061536837943,-1.427083,34.686384576567704,-0.060091144420473475,-0.06968007121154932,1.6757256090398385,1.3857823909601614
1997-06-20,1.53125,1.552083,1.5,1.526042,1.526042,3387600,-0.003,0.015625,0.0956628696392002,1.544643,1.5354663333333334,1.5607294474193925,-1.494792,36.02959488919861,-0.057759785356258364,-0.06729601404049113,1.672500661913194,1.3984320047534728
1997-06-23,1.541667,1.541667,1.479167,1.5,1.5,1047600,-0.027,-0.0260419999999999,0.0935444846968802,1.5297619999999998,1.5404266666666666,1.557854141107997,-1.489583,34.746979795322346,-0.05735241531613222,-0.06530729429561935,1.6630119235507357,1.4178414097825975
1997-06-24,1.505208,1.526042,1.479167,1.510417,1.510417,751200,0.003,0.010416999999999899,0.0911058996751301,1.5193454285714285,1.5409227142857145,1.5556687923981125,-1.489583,35.73253543425486,-0.05554867622126247,-0.06335557068074799,1.6629037156050062,1.4189417129664228
1997-06-25,1.526042,1.526042,1.489583,1.510417,1.510417,2106000,-0.01,0.0,0.0887335334440954,1.5104168571428571,1.537450523809524,1.5536378584515858,-1.473958,35.73253543425486,-0.05350245697347278,-0.061384947939292944,1.6585088663086986,1.4163921813103493
1997-06-26,1.520833,1.520833,1.505208,1.510417,1.510417,3189600,-0.007,0.0,0.08642730129642671,1.5111609999999998,1.5364584761904763,1.5517458898522547,-1.5,35.73253543425486,-0.051289579135763264,-0.05936587417858701,1.6580704073726078,1.4148465450083447
1997-06-27,1.515625,1.515625,1.479167,1.489583,1.489583,1188000,-0.017,-0.020833999999999797,0.08482988594384767,1.5081847142857143,1.5357144285714286,1.5490889536459675,-1.489583,34.433428668605714,-0.05063331781977132,-0.05761936290682388,1.658316550323984,1.4131123068188731
1997-06-30,1.510417,1.598958,1.479167,1.541667,1.541667,2746800,0.021,0.0520839999999998,0.08226624667086307,1.5126490000000001,1.5376985714285714,1.548778900751391,-1.489583,40.278969007333515,-0.04538728610131848,-0.0551729475457228,1.659216998598398,1.4161801442587447
1997-07-01,1.541667,1.541667,1.510417,1.515625,1.515625,1292400,-0.017,-0.0260419999999999,0.08005357267664852,1.5111608571428572,1.5379465714285714,1.5474239290710656,-1.489583,38.433905197759394,-0.042837337762344996,-0.05270582558904724,1.6592522246695824,1.4166409181875603
1997-07-02,1.515625,1.59375,1.510417,1.588542,1.588542,3882000,0.048,0.0729169999999999,0.07854094912652632,1.5238097142857143,1.5431549047619046,1.5490694046439866,-1.510417,45.905681175037245,-0.03453459945958959,-0.04907158036315571,1.6632469573364268,1.4230628521873825
1997-07-03,1.598958,1.916667,1.59375,1.911458,1.911458,12577200,0.195,0.3229160000000002,0.11543658093239476,1.5811012857142859,1.566716380952381,1.5632815069967056,-1.458333,65.73704281310145,-0.0018763674621649074,-0.03963253778295755,1.7565059902585558,1.3769267716462061
1997-07-07,1.833333,2.020833,1.833333,2.0,2.0,8053200,0.091,0.0885419999999999,0.1515848758722327,1.6510417142857143,1.588541761904762,1.58007926411703,-1.484375,69.08385026126425,0.03079512903111281,-0.025547004420143477,1.8558260336918648,1.321257490117659
1997-07-08,2.041667,2.333333,2.041667,2.302083,2.302083,15517200,0.128,0.3020830000000001,0.2219680706641336,1.764136857142857,1.6192957142857143,1.607336164314275,-1.411458,77.24905342523564,0.08013930287591897,-0.004409742960930989,2.0296368370975246,1.208954591473904
1997-07-09,2.302083,2.385417,2.270833,2.322917,2.322917,8262000,0.009,0.020833999999999797,0.2691440620207898,1.8831845714285715,1.6495536666666668,1.6338691764854252,-1.088542,77.68675230702311,0.11954797124007288,0.020381799879269785,2.162019052257668,1.1370882810756657
1997-07-10,2.333333,2.572917,2.333333,2.5625,2.5625,9051600,0.098,0.2395830000000001,0.3333863271539563,2.029017857142857,1.6961806666666666,1.6677106176158019,-1.0,81.9801024309495,0.16817337270782784,0.04994011444498139,2.3437197107850376,1.0486416225482955
1997-07-11,2.520833,2.520833,2.208333,2.291667,2.291667,10531200,-0.091,-0.2708330000000001,0.3501982036740932,2.139881,1.7318949523809524,1.6900725707049997,-0.6979169999999999,66.42144540157022,0.1827487798668057,0.07650184752934626,2.4247842442599588,1.0390056605019462
1997-07-14,2.322917,2.333333,2.114583,2.135417,2.135417,4604400,-0.081,-0.15625,0.3520920564115766,2.218006,1.7571925714285714,1.7057783334436232,-0.6770830000000001,59.415503066013464,0.17962126376780763,0.09712573077703854,2.4690288035745818,1.045356339282561
1997-07-15,2.135417,2.479167,2.135417,2.4375,2.4375,9274800,0.141,0.3020830000000001,0.3750566629557923,2.293154857142857,1.7978671904761907,1.7311857861619586,-0.4375,66.72334083758297,0.19922175384673735,0.11754493539097831,2.5635567145580134,1.032177666394368
1997-07-16,2.447917,2.494792,2.302083,2.333333,2.333333,3024000,-0.047,-0.1041669999999999,0.38435439524021675,2.340773857142857,1.8340774761904763,1.7517827235813452,-0.7083330000000001,62.5413368242676,0.20399831155704695,0.13483561062419205,2.626540522747884,1.0416144296330687
1997-07-17,2.34375,2.34375,2.15625,2.21875,2.21875,3169200,-0.053,-0.1145830000000001,0.38429113045762525,2.328869142857143,1.8680556666666666,1.7675259022841174,-0.8645830000000001,58.21874510268507,0.19627533755165372,0.1471235560096844,2.6624814156213024,1.073629917712031
1997-07-18,2.1875,2.21875,2.15625,2.15625,2.15625,780000,-0.014,-0.0625,0.38042156055874804,2.3050595714285715,1.8988096190476191,1.780448926716877,-0.5625,55.94730775675326,0.18300206347276582,0.1542992575023007,2.685047495717645,1.1125717423775932
